,Hora,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13
0,24:00,67%,8%,6%,21%,64%,50%,40%
1,1:00,59%,10%,7%,21%,55%,47%,38%
2,2:00,51%,10%,8%,20%,56%,46%,36%
3,3:00,36%,8%,12%,21%,59%,43%,35%
4,4:00,21%,10%,9%,26%,56%,39%,36%
5,5:00,19%,13%,11%,26%,56%,35%,36%
6,6:00,16%,12%,18%,30%,56%,33%,36%
7,7:00,12%,8%,10%,30%,58%,32%,35%
8,8:00,13%,6%,7%,29%,60%,30%,34%
9,9:00,3%,5%,6%,35%,63%,27%,33%
10,10:00,4%,7%,6%,44%,65%,23%,32%
11,11:00,5%,8%,6%,46%,68%,20%,30%
12,12:00,4%,9%,7%,55%,70%,20%,29%
13,13:00,8%,12%,8%,58%,68%,25%,29%
14,14:00,15%,12%,9%,59%,64%,36%,29%
15,15:00,22%,15%,10%,54%,61%,46%,31%
16,16:00,41%,12%,13%,59%,63%,48%,36%
17,17:00,68%,22%,16%,68%,69%,47%,44%
18,18:00,61%,27%,20%,71%,73%,46%,47%
19,19:00,56%,13%,22%,76%,74%,49%,48%
20,20:00,53%,14%,30%,77%,74%,53%,51%
21,21:00,58%,12%,26%,80%,73%,53%,52%
22,22:00,39%,9%,22%,68%,67%,48%,52%
23,23:00,18%,7%,20%,57%,58%,43%,51%
